,pono,gitemno,proccode,procseq,comb_classification,duedate,fabric_width,production_length,chemical_list,product_ID,process_ID,procgbn
39,SW1250906901,31600,20705,2,4,2025-11-03,1300,558,W2027|W1912,31600_1300_4_M11,31600_1300_4_M11_20705_W2027|W1912,SR
40,SW1250906901,31600,20500,3,4,2025-11-03,1300,558,WRF065,31600_1300_4_M11,31600_1300_4_M11_20500_WRF065,투명
41,SW1250906901,31600,20906,4,4,2025-11-03,1300,558,None,31600_1300_4_M11,31600_1300_4_M11_20906_None,인쇄
42,SW1250904701,31602,20902,1,4,2025-11-03,1300,930,T02390|T02293,31602_1300_4_M11,31602_1300_4_M11_20902_T02390|T02293,안료
43,SW1250904701,31602,20705,2,4,2025-11-03,1300,930,W2027|W1912,31602_1300_4_M11,31602_1300_4_M11_20705_W2027|W1912,SR
44,SW1250904701,31602,20500,3,4,2025-11-03,1300,930,WRF065,31602_1300_4_M11,31602_1300_4_M11_20500_WRF065,투명
45,SW1250904701,31602,20906,4,4,2025-11-03,1300,930,None,31602_1300_4_M11,31602_1300_4_M11_20906_None,인쇄
46,SW1250906902,32016,20902,1,4,2025-11-03,1300,0,W2039|T02496,32016_1300_4_M11,32016_1300_4_M11_20902_W2039|T02496,안료
47,SW1250906902,32016,20706,2,4,2025-11-03,1300,0,T02149|W1817,32016_1300_4_M11,32016_1300_4_M11_20706_T02149|W1817,SR
48,SW1250906902,32016,20500,3,4,2025-11-03,1300,0,W2053|WRF065,32016_1300_4_M11,32016_1300_4_M11_20500_W2053|WRF065,투명
49,SW1250906902,32016,20906,4,4,2025-11-03,1300,0,None,32016_1300_4_M11,32016_1300_4_M11_20906_None,인쇄
50,SW1250904708,32017,20902,1,4,2025-11-03,1300,3286,T02319,32017_1300_4_M11,32017_1300_4_M11_20902_T02319,안료
51,SW1250904708,32017,20706,2,4,2025-11-03,1300,3286,None,32017_1300_4_M11,32017_1300_4_M11_20706_None,SR
52,SW1250904708,32017,20500,3,4,2025-11-03,1300,3286,WRF065,32017_1300_4_M11,32017_1300_4_M11_20500_WRF065,투명
53,SW1250904708,32017,20906,4,4,2025-11-03,1300,3286,None,32017_1300_4_M11,32017_1300_4_M11_20906_None,인쇄
54,SW1250906903,32018,20902,1,4,2025-11-03,1300,248,T02507|T02320,32018_1300_4_M11,32018_1300_4_M11_20902_T02507|T02320,안료
55,SW1250906903,32018,20706,2,4,2025-11-03,1300,248,T02149,32018_1300_4_M11,32018_1300_4_M11_20706_T02149,SR
56,SW1250906903,32018,20500,3,4,2025-11-03,1300,248,WRF065,32018_1300_4_M11,32018_1300_4_M11_20500_WRF065,투명
57,SW1250906903,32018,20906,4,4,2025-11-03,1300,248,None,32018_1300_4_M11,32018_1300_4_M11_20906_None,인쇄
