,pono,gitemno,proccode,procseq,comb_classification,duedate,fabric_width,original_production_length,chemical_list,ID,procgbn,gitemname,production_length
0,SW1251002401,32409,24000,1,4,2025-10-31,1300,150,T01824,32409_24000_1300_T01824_4_M10,,NS-Clear Matte (Haze 60%),152.03729981755524
1,SW1251002401,32409,24000,1,4,2025-10-31,1300,150,T01824,32409_24000_1300_T01824_4_M10,샘플,NS-Clear Matte (Haze 60%),152.03729981755524
2,SW1251002401,32409,23100,2,4,2025-10-31,1300,150,T01862,32409_23100_1300_T01862_4_M10,투명,NS-Clear Matte (Haze 60%),152.03729981755524
