,P/O NO,GITEM,GITEM명,너비,길이,의뢰량,원단길이,납기일
104,SW1250508411,32307,ULTRAFIT-ND-ULTRAFIT VC 50,1016,30,80,2400,2025-06-26
105,SW1250508412,32307,ULTRAFIT-ND-ULTRAFIT VC 50,508,30,80,2400,2025-06-26
106,SW1250508413,32309,ULTRAFIT-ND-ULTRAFIT VF 05,1524,30,50,1500,2025-06-26
107,SW1250508414,32309,ULTRAFIT-ND-ULTRAFIT VF 05,1016,30,50,1500,2025-06-26
108,SW1250508415,32309,ULTRAFIT-ND-ULTRAFIT VF 05,508,30,50,1500,2025-06-26
109,SW1250508416,32310,ULTRAFIT-ND-ULTRAFIT VF 15,1524,30,50,1500,2025-06-26
110,SW1250508417,32310,ULTRAFIT-ND-ULTRAFIT VF 15,1016,30,100,3000,2025-06-26
111,SW1250508418,32310,ULTRAFIT-ND-ULTRAFIT VF 15,508,30,60,1800,2025-06-26
112,SW1250508419,32311,ULTRAFIT-ND-ULTRAFIT VF 25,1524,30,50,1500,2025-06-26
113,SW1250508420,32311,ULTRAFIT-ND-ULTRAFIT VF 25,1016,30,50,1500,2025-06-26
114,SW1250508421,32311,ULTRAFIT-ND-ULTRAFIT VF 25,508,30,50,1500,2025-06-26
115,SW1250508422,32312,ULTRAFIT-ND-ULTRAFIT VF 35,1524,30,50,1500,2025-06-26
116,SW1250508423,32312,ULTRAFIT-ND-ULTRAFIT VF 35,1016,30,30,900,2025-06-26
117,SW1250508424,32312,ULTRAFIT-ND-ULTRAFIT VF 35,508,30,30,900,2025-06-26
118,SW1250508425,32313,ULTRAFIT-ND-ULTRAFIT VF 50,1524,30,50,1500,2025-06-26
119,SW1250508426,32313,ULTRAFIT-ND-ULTRAFIT VF 50,1016,30,50,1500,2025-06-26
120,SW1250508427,32313,ULTRAFIT-ND-ULTRAFIT VF 50,508,30,50,1500,2025-06-26
121,SW1250508428,32314,ULTRAFIT-ND-ULTRAFIT VF 70,1524,30,50,1500,2025-06-26
122,SW1250508429,32314,ULTRAFIT-ND-ULTRAFIT VF 70,1016,30,30,900,2025-06-26
123,SW1250508430,32314,ULTRAFIT-ND-ULTRAFIT VF 70,508,30,30,900,2025-06-26
124,SW1250508431,32315,ULTRAFIT-ND-ULTRAFIT VS 05,1524,30,50,1500,2025-07-10
125,SW1250508432,32315,ULTRAFIT-ND-ULTRAFIT VS 05,1016,30,20,600,2025-07-10
126,SW1250508433,32315,ULTRAFIT-ND-ULTRAFIT VS 05,508,30,20,600,2025-07-10
127,SW1250508434,32318,ULTRAFIT-ND-ULTRAFIT VS 35,1016,30,50,1500,2025-06-26
128,SW1250508435,32319,ULTRAFIT-ND-ULTRAFIT VS 50,1524,30,50,1500,2025-06-26
129,SW1250508436,32319,ULTRAFIT-ND-ULTRAFIT VS 50,1016,30,20,600,2025-06-26
130,SW1250508437,32319,ULTRAFIT-ND-ULTRAFIT VS 50,508,30,20,600,2025-06-26
131,SW1250408201,29059,SF-NS-2MIL(썬바이져용),1524,62,150,9300,2025-06-13
132,SW1250508701,29059,SF-NS-2MIL(썬바이져용),1524,62,150,9300,2025-07-11
133,SW1250508801,31772,WINDSHIELD 보호필름(점착개선),1220,30,310,9300,2025-06-24
134,SW1250508802,31772,WINDSHIELD 보호필름(점착개선),1220,30,216,6480,2025-06-24
135,SW1250510201,32474,PPF-NS-Onyxhield Exa MATTE BLACK,1524,15,1,15,2025-06-12
136,SW1250509202,32174,PPF-ND-Forged carbon pattern PPF(gloss type),1524,12,1,12,2025-06-09
137,SW1250510301,32431,PPF-NS-Onyxhield EX11,1524,15,50,750,2025-07-20
138,SW1250511701,31809,PPF-NS-TGA(S)-HL(Gray 50%),1524,15,30,450,2025-07-10
139,SW1250511801,32556,WP-NS-IVIOS Axion,1220,15,150,2250,2025-06-11
140,SW1250511202,32198,PPF-NS-Crystal Satin Finish (Kaizer),1524,15,10,150,2025-06-23
141,SW1250511901,32453,PPF-NS-Onyxhield EXa MATT,1524,15,50,750,2025-06-23
142,SW1250512201,31382,SP(USA)-ND-Mono Carbon 20,1524,31,20,620,2025-06-20
143,SW1250512202,30458,Phantom(BLACK)-ND-S5 2550,508,31,210,6510,2025-06-20
144,SW1250512203,30458,Phantom(BLACK)-ND-S5 2550,762,31,30,930,2025-06-20
145,SW1250512204,30458,Phantom(BLACK)-ND-S5 2550,1016,31,10,310,2025-06-20
146,SW1250512205,30460,Phantom(BLACK)-ND-S5 4050,1524,31,100,3100,2025-06-20
147,SW1250512206,30460,Phantom(BLACK)-ND-S5 4050,508,31,753,23343,2025-06-20
148,SW1250512207,31503,Phantom(AUS)-ND-S5 7750,1524,31,36,1116,2025-06-20
149,SW1250512208,31503,Phantom(AUS)-ND-S5 7750,508,31,60,1860,2025-06-20
150,SW1250512209,31503,Phantom(AUS)-ND-S5 7750,762,31,20,620,2025-06-20
151,SW1250512210,31503,Phantom(AUS)-ND-S5 7750,1016,31,20,620,2025-06-20
152,SW1250512301,31772,WINDSHIELD 보호필름(점착개선),1016,35,70,2450,2025-06-23
153,SW1250512302,31772,WINDSHIELD 보호필름(점착개선),1220,35,30,1050,2025-06-23
154,SW1250512211,31382,SP(USA)-ND-Mono Carbon 20,508,31,30,930,2025-06-20
155,SW1250512401,32532,ULTRAFIT-NS-ULTRAFIT WinCrest Clear,1220,15,200,3000,2025-07-30
156,SW1250512402,32532,ULTRAFIT-NS-ULTRAFIT WinCrest Clear,1040,15,150,2250,2025-07-30
157,SW1250512403,32318,ULTRAFIT-ND-ULTRAFIT VS 35,1524,30,100,3000,2025-06-24
158,SW1250512601,31966,PPF-NS-ULTRAFIT XP CRISTAL(MONO),1524,15,500,7500,2025-07-15
159,SW1250512602,32316,ULTRAFIT-ND-ULTRAFIT VS 15,1524,30,70,2100,2025-07-10
160,SW1250512603,32320,ULTRAFIT-ND-ULTRAFIT VS 70,1524,30,50,1500,2025-06-23
161,SW1250512701,32023,PPF-NS-PPF MATTE(MONO),1524,15,10,150,2025-06-12
162,SW1250512901,32453,PPF-NS-Onyxhield EXa MATT,1524,15,50,750,2025-06-17
163,SW1250513404,30458,Phantom(BLACK)-ND-S5 2550,1524,31,50,1550,2025-07-01
164,SW1250513405,32700,Phantom(2nd)-ND-F95 5095(항균ISR)-19㎛,1524,31,50,1550,2025-07-01
165,SW1250513406,32674,Phantom(2nd)-ND-F95 2795(항균ISR)-19㎛,1524,31,55,1705,2025-07-01
166,SW1250513407,32672,Phantom(2nd)-ND-F95 0595(항균ISR)-19㎛,1524,31,79,2449,2025-07-01
167,SW1250513408,31361,Phantom(USA)-ND-S5 0550,1524,31,50,1550,2025-07-01
168,SW1250513409,32692,Phantom(2nd)-ND-F65 5065(항균ISR)-19㎛,1524,31,50,1550,2025-07-01
169,SW1250515001,32023,PPF-NS-PPF MATTE(MONO),1524,15,200,3000,2025-06-26
170,SW1250515501,25280,SF-NT-12MIL,1524,31,50,1550,2025-06-25
171,SW1250515601,31016,Phantom(KOR)-ND-S5 1750,1524,31,50,1550,2025-06-13
172,SW1250515602,31017,Phantom(KOR)-ND-S5 3350,1524,31,50,1550,2025-06-13
173,SW1250515603,31505,Phantom(AUS)-ND-S9 7790,1524,31,50,1550,2025-06-13
